IPCDAT: 140 integer coded data for GSLIB problems
3
Xlocation
Ylocation
Code
39.5 18.5 1
 5.5  1.5 1
38.5  5.5 1
20.5  1.5 1
27.5 14.5 1
40.5 21.5 1
15.5  3.5 1
 6.5 25.5 1
38.5 21.5 1
23.5 18.5 1
  .5 25.5 1
 9.5 19.5 1
36.5 43.5 1
21.5  5.5 1
13.5  3.5 1
40.5  7.5 1
31.5 17.5 1
46.5 40.5 1
10.5  7.5 1
28.5 11.5 1
 8.5  7.5 1
47.5   .5 1
 4.5 37.5 1
14.5 21.5 1
22.5 48.5 1
18.5  6.5 2
 3.5 38.5 2
11.5 46.5 2
31.5 26.5 2
14.5 29.5 2
14.5 43.5 2
38.5 28.5 2
45.5 14.5 2
 4.5 30.5 2
 6.5 41.5 2
 7.5 12.5 2
26.5 23.5 2
 8.5 45.5 2
14.5 46.5 2
13.5 24.5 2
26.5  1.5 2
33.5  7.5 2
45.5 22.5 2
48.5 25.5 2
35.5 10.5 2
34.5 14.5 2
13.5 39.5 2
 7.5 18.5 2
15.5 27.5 2
 3.5 33.5 2
11.5 15.5 2
22.5 30.5 3
45.5 29.5 3
13.5 12.5 3
22.5 11.5 3
17.5 34.5 3
39.5 43.5 3
 3.5 23.5 3
30.5 22.5 3
46.5 13.5 3
30.5  9.5 3
27.5 32.5 3
12.5 34.5 3
25.5  4.5 3
27.5 34.5 3
45.5  6.5 3
 3.5 47.5 3
33.5 31.5 3
41.5 26.5 3
19.5 20.5 3
  .5 41.5 3
 5.5 22.5 3
43.5 10.5 3
41.5 45.5 3
28.5 42.5 4
21.5 34.5 4
16.5 13.5 4
23.5 24.5 4
 2.5  1.5 4
47.5 44.5 4
39.5 38.5 4
46.5 34.5 4
35.5 45.5 4
25.5 25.5 4
28.5 44.5 4
19.5 42.5 4
38.5 36.5 4
 2.5  9.5 4
32.5 36.5 4
  .5  8.5 4
31.5 45.5 4
 9.5 29.5 4
39.5 31.5 4
17.5 15.5 4
 2.5 14.5 4
30.5 41.5 4
35.5 32.5 4
37.5 36.5 4
38.5 35.5 4
38.5 37.5 4
39.5 36.5 3
 1.5  9.5 4
 2.5  8.5 4
 2.5 10.5 3
 3.5  9.5 4
31.5 36.5 4
32.5 35.5 3
32.5 37.5 4
33.5 36.5 4
  .5  7.5 4
  .5  9.5 4
 1.5  8.5 4
30.5 45.5 4
31.5 44.5 4
31.5 46.5 4
32.5 45.5 4
 8.5 29.5 4
 9.5 28.5 4
 9.5 30.5 4
10.5 29.5 3
38.5 31.5 4
39.5 30.5 4
39.5 32.5 3
40.5 31.5 3
16.5 15.5 4
17.5 14.5 4
17.5 16.5 4
18.5 15.5 4
 1.5 14.5 4
 2.5 13.5 4
 2.5 15.5 3
 3.5 14.5 4
29.5 41.5 4
30.5 40.5 4
30.5 42.5 4
31.5 41.5 4
34.5 32.5 4
35.5 31.5 4
35.5 33.5 4
36.5 32.5 4
